Total population,White alone,Black alone,American Indian alone,Asian alone,Hawaiian alone,Hispanic,Other alone,Two or more,Census Tract,Poverty
5061,1093,388,15,187,104,3163,9,102,6073018509,1027
4777,2879,53,0,400,0,1405,0,40,6073018517,942
4115,2403,126,12,122,0,1407,0,45,6073018612,844
6931,4342,224,5,329,0,1809,0,222,6073019301,605
5851,638,22,0,14,0,5138,0,39,6073019502,2120
7927,5653,149,17,669,0,980,0,459,6073020014,471
3817,1736,52,0,331,2,1519,0,177,6073020107,240
2208,1081,81,3,47,0,913,0,83,6083002707,405
3212,2653,0,0,66,0,350,0,143,6083000103,343
5168,4106,0,0,258,0,693,0,111,6083000600,507
3465,798,32,0,52,0,2580,0,3,6083000801,608
5884,2885,157,16,246,0,2398,0,182,6083001000,1051
2624,2322,0,0,91,0,181,19,11,6083001500,291
5743,2901,7,10,125,0,2531,0,169,6083001601,623
7433,4630,21,21,128,22,2432,0,179,6083001901,771
6495,3956,53,0,130,0,2185,49,122,6083001903,1122
5826,4254,36,401,158,0,723,29,225,6083001906,875
2983,1798,16,38,71,0,1016,0,44,6083002006,377
10134,4832,42,0,758,46,3997,33,426,6083002007,689
4194,2504,26,46,186,0,1359,0,73,6083002009,662
4511,1056,24,14,326,0,3050,10,31,6083002103,1204
3606,449,17,2,115,0,2996,0,27,6083002209,1003
6620,1393,56,35,71,0,4861,0,204,6083002706,1775
5243,919,110,2,229,0,3928,0,55,6083002206,1814
6452,588,17,0,153,0,5694,0,0,6083002303,1812
7692,1451,223,0,141,96,5621,0,160,6083002702,4120
4525,1257,94,0,66,0,2908,0,200,6083002703,785
7445,2588,535,110,683,0,3304,10,215,6083002802,980
2573,1328,50,0,79,0,985,0,131,6083002806,475
3826,3172,0,6,156,0,476,0,16,6083002913,211
1100,526,7,3,16,0,533,0,15,6083001800,160
3437,2160,37,10,354,0,744,12,120,6083002914,762
5348,4152,0,0,241,0,796,0,159,6083000400,682
2968,2194,8,8,151,0,590,0,17,6083001203,271
2571,2010,1,0,11,43,460,0,46,6083001905,137
3042,2002,11,0,181,0,633,31,184,6083002012,162
2305,1229,85,6,71,0,721,0,193,6083002708,333
4214,3018,6,0,358,0,700,0,132,6083002907,228
5852,3214,37,0,342,0,2111,0,148,6083002909,303
6894,3933,205,0,203,30,2337,0,186,6083002008,609
3419,2548,0,75,29,12,668,0,87,6033001200,544
5817,3586,109,492,10,0,1612,0,8,6033001000,1351
2827,2152,4,27,10,31,531,0,72,6043000200,453
1717,1234,30,0,110,0,295,0,48,6043000400,300
3507,2978,117,37,10,0,338,0,27,6049000100,937
1520,1176,0,35,0,0,262,4,43,6049000200,315
1081,841,9,119,5,0,102,0,5,6049000400,213
2830,1967,23,100,115,6,590,0,29,6049000300,430
2836,1900,10,49,213,3,501,0,160,6115040901,910
7319,5898,337,26,186,0,699,0,173,6115041000,763
4447,3646,88,34,0,0,320,7,352,6115041100,1138
5462,2983,146,63,202,0,1809,0,259,6115040600,1329
4524,3281,8,37,141,54,738,9,256,6115040800,547
4966,3149,112,66,61,4,1230,0,344,6115040100,1698
5137,1750,117,90,418,74,2366,0,322,6115040400,2405
3936,1577,10,48,289,5,1756,7,244,6115040500,1459
1630,879,138,2,105,15,356,0,135,6115040902,114
7954,4199,123,0,429,0,2717,13,473,6115040200,1799
13227,7032,430,100,1063,54,3862,0,686,6115040700,1635
6094,4166,29,0,982,0,653,0,264,6013338302,170
5598,4007,129,7,658,0,588,0,209,6013349000,622
3170,2044,74,36,94,0,682,32,208,6013357000,432
4340,1998,477,20,190,0,1457,0,198,6013307101,936
4305,503,1599,12,110,59,1652,57,313,6013307202,1698
4238,1282,440,17,286,0,2090,12,111,6013307204,733
2061,1544,80,7,61,0,184,0,185,6013317000,267
6483,4148,154,29,579,0,1310,42,221,6013321101,340
6938,4644,171,16,753,0,932,0,422,6013321102,168
4616,3465,105,22,488,0,357,66,113,6013321103,192
5633,3359,289,16,602,15,1153,36,163,6055201700,532
2840,2573,61,9,49,0,121,0,27,6055200703,150
6042,3266,46,16,186,36,2256,0,236,6055200802,511
3491,1948,29,0,49,0,1465,0,0,6055200201,410
1745,1279,36,13,13,0,392,0,12,6055201800,189
2352,1135,3,0,0,0,1058,40,116,6055200203,113
1260,884,0,0,70,0,245,4,57,6055201900,160
1984,1269,3,0,55,0,588,57,12,6055201500,710
